uri	all	long	error_rate	long_tokens_error_rate	tok_count
0001AbuTalibCabdManaf.Diwan.JK007501-ara1	307	7	0.05345638168204771	0.001218875152359394	5743
0001AbuTalibCabdManaf.Diwan.ShamAY0037822-ara1	307	7	0.05348432055749129	0.0012195121951219512	5740
0001AwsIbnHajar.Diwan.JK007502-ara1	383	5	0.07344199424736338	0.0009587727708533077	5215
0001AwsIbnHajar.Diwan.ShamAY0037914-ara1	383	5	0.07348426707597851	0.0009593246354566385	5212
0001CalqamaFahl.Diwan.JK007522-ara1	163	2	0.07802776448061273	0.0009573958831977022	2089
0001CalqamaFahl.Diwan.ShamAY0037936-ara1	163	2	0.07802776448061273	0.0009573958831977022	2089
0001CamrIbnKulthum.Diwan.JK007524-ara1	5	0	0.07462686567164178	0.0	67
0001CamrIbnKulthum.Diwan.ShamAY0037904-ara1	5	0	0.07575757575757576	0.0	66
0001CamrIbnKulthum.Mucallaqa.ShamAY0038526-ara1	75	12	0.08610792192881746	0.013777267508610792	871
0001CamrIbnMalik.Diwan.JK007525-ara1	93	0	0.06365503080082136	0.0	1461
0001CamrIbnQumaya.Diwan.JK007523-ara1	177	1	0.07976566020730058	0.0004506534474988734	2219
0001CamrIbnQumaya.Diwan.ShamAY0037903-ara1	179	1	0.08070333633904418	0.0004508566275924256	2218
0001CantaraIbnShaddad.Diwan.JK007526-ara1	720	20	0.04321209938782859	0.0012003360941063499	16662
0001CantaraIbnShaddad.Diwan.ShamAY0037906-ara1	1407	101	0.048579221765701064	0.003487207816869799	28963
0001CantaraIbnShaddad.Mucallaqa.ShamAY0038527-ara1	42	0	0.06431852986217458	0.0	653
0001CurwaIbnWard.Diwan.JK007521-ara1	101	2	0.04225941422594142	0.0008368200836820083	2390
0001CurwaIbnWard.Diwan.ShamAY0037959-ara1	101	2	0.04225941422594142	0.0008368200836820083	2390
0001HajibIbnMudallil.Diwan.JK007515-ara1	11	0	0.05365853658536585	0.0	205
0001HarithIbnHilliza.Diwan.JK007505-ara1	129	0	0.0809284818067754	0.0	1594
0001HarithIbnHilliza.Diwan.ShamAY0037848-ara1	129	0	0.08113207547169811	0.0	1590
0001HarithIbnHilliza.Mucallaqa.ShamAY0038524-ara1	72	0	0.0933852140077821	0.0	771
0001HatimTai.Diwan.JK007514-ara1	184	0	0.04854881266490765	0.0	3790
0001HatimTai.Diwan.ShamAY0037913-ara1	184	0	0.0485616257587754	0.0	3789
0001ImruQays.Diwan.JK007512-ara1	442	3	0.08129483170866286	0.000551774875850653	5437
0001ImruQaysKindi.Diwan.Shamela0027112-ara1	952	20	0.04517200474495848	0.0009489916963226571	21075
0001KitabAllah.QuranKarim.Shia000001-ara1	895	57	0.011438430570643492	0.0007284810531024347	78245
0001LaqitIbnYacmur.Diwan.JK007528-ara1	38	1	0.06041335453100159	0.001589825119236884	629
0001LaqitIbnYacmur.Diwan.ShamAY0037835-ara1	38	1	0.06041335453100159	0.001589825119236884	629
0001MuhalhilIbnRabica.Diwan.JK007529-ara1	143	2	0.04056737588652482	0.0005673758865248227	3525
0001MuhalhilIbnRabica.Diwan.ShamAY0037862-ara1	143	3	0.04215801886792453	0.000884433962264151	3392
0001MuthaqqibCabdi.Diwan.JK007510-ara1	147	3	0.10013623978201634	0.0020435967302452314	1468
0001MuthaqqibCabdi.Diwan.ShamAY0037895-ara1	148	3	0.10088616223585549	0.002044989775051125	1467
0001NabighaDhubyani.Diwan.JK007511-ara1	448	11	0.0645998558038933	0.0015861571737563085	6935
0001NabighaDhubyani.Diwan.ShamAY0037896-ara1	447	11	0.0658224120159034	0.0016197908997202179	6791
0001QaysIbnKhatim.Diwan.JK007527-ara1	214	3	0.06941290950373014	0.0009730781706130393	3083
0001QaysIbnKhatim.Diwan.ShamAY0037907-ara1	214	3	0.06932296728215095	0.0009718172983479105	3087
0001SalamaIbnJandal.Diwan.JK007517-ara1	158	3	0.07718612603810454	0.0014655593551538837	2047
0001SalamaIbnJandal.Diwan.ShamAY0037950-ara1	158	3	0.07718612603810454	0.0014655593551538837	2047
0001SamawalIbnCadiya.Diwan.JK007508-ara1	48	0	0.0486322188449848	0.0	987
0001SamawalIbnCadiya.Diwan.ShamAY0037887-ara1	48	0	0.04878048780487805	0.0	984
0001Shanfara.Diwan.JK007509-ara1	65	2	0.09246088193456614	0.002844950213371266	703
0001Shanfara.Diwan.ShamAY0037893-ara1	159	2	0.07357704766311893	0.0009254974548819991	2161
0001SulaykIbnSulaka.Diwan.JK007507-ara1	8	0	0.06722689075630252	0.0	119
0001SulaykIbnSulaka.Diwan.ShamAY0037886-ara1	8	0	0.06722689075630252	0.0	119
0001TaabbataSharran.Diwan.JK007513-ara1	209	4	0.06645468998410174	0.0012718600953895071	3145
0001TaabbataSharran.Diwan.ShamAY0037943-ara1	209	4	0.06645468998410174	0.0012718600953895071	3145
0001TarafaIbnCabd.Diwan.JK007518-ara2	256	1	0.06152367219418409	0.0002403268445085316	4161
0001TarafaIbnCabd.Diwan.Shamela0036422-ara1	270	1	0.04845656855707107	0.00017946877243359656	5572
0001TufaylGhanawi.Diwan.JK007519-ara1	273	2	0.06873111782477341	0.0005035246727089627	3972
0001TufaylGhanawi.Diwan.ShamAY0037934-ara1	273	2	0.07028836251287332	0.0005149330587023687	3884
0001ZuhayrIbnAbiSulma.Diwan.JK007516-ara1	233	4	0.05258406680207628	0.0009027307605506658	4431
0001ZuhayrIbnAbiSulma.Diwan.ShamAY0037933-ara1	233	4	0.05258406680207628	0.0009027307605506658	4431
0001ZuhayrIbnAbiSulma.Mucallaqa.ShamAY0038525-ara1	36	1	0.05921052631578947	0.001644736842105263	608
0005Hadira.Diwan.JK007504-ara1	53	0	0.058888888888888886	0.0	900
0005Hadira.Diwan.ShamAY0037847-ara1	53	0	0.061342592592592594	0.0	864
0007MaymunIbnQaysAcsha.Diwan.JK007503-ara1	1535	15	0.07899341292713051	0.0007719226018937835	19432
0011CamirIbnTufayl.Diwan.JK007520-ara1	242	6	0.0687304742970747	0.0017040613462084636	3521
0011CamirIbnTufayl.Diwan.Sham19Y0149871-ara1	257	4	0.060187353629976584	0.000936768149882904	4270
0021CamrZubaydi.Diwan.JK007536-ara1	53	0	0.05948372615039282	0.0	891
0021CamrZubaydi.Diwan.ShamAY0037905-ara1	53	0	0.05955056179775281	0.0	890
0022ShammakhIbnDirar.Diwan.JK007533-ara1	465	2	0.08416289592760182	0.00036199095022624434	5525
0022ShammakhIbnDirar.Diwan.ShamAY0037892-ara1	465	2	0.08588843738455855	0.0003694126339120798	5414
0024TumadirBinCamrKhansa.Diwan.JK007532-ara1	822	7	0.09774078478002378	0.0008323424494649227	8410
0024TumadirBinCamrKhansa.Diwan.ShamAY0037828-ara1	843	7	0.10074091778202676	0.0008365200764818356	8368
0026KacbIbnZuhayr.Diwan.JK007537-ara1	442	8	0.07115260785576304	0.00128783000643915	6212
0026KacbIbnZuhayr.Diwan.ShamAY0037833-ara1	442	8	0.07116406375784898	0.0012880373530832394	6211
0030CurwaIbnHizam.Diwan.JK007555-ara1	52	0	0.02991944764096663	0.0	1738
0030CurwaIbnHizam.Diwan.ShamAY0037960-ara1	52	0	0.02991944764096663	0.0	1738
0037IbnMuqbil.Diwan.JK007530-ara1	1097	39	0.08623535885543589	0.0030657967140948037	12721
0037IbnMuqbil.Diwan.ShamAY0037879-ara1	1098	39	0.08632754147338627	0.003066278795502791	12719
0040CaliIbnAbiTalib.Diwan.JK007540-ara1	182	3	0.02297689685645752	0.0003787400580734756	7921
0040CaliIbnAbiTalib.Diwan.ShamAY0037911-ara1	180	3	0.023014959723820484	0.0003835826620636747	7821
0041LabidIbnRabica.Diwan.JK007538-ara2	781	22	0.07671905697445973	0.0021611001964636544	10180
0041LabidIbnRabica.Diwan.Shamela0035077-ara1	892	23	0.06590321388991503	0.001699298115995567	13535
0041LabidIbnRabica.Mucallaqa.ShamAY0038523-ara1	60	2	0.055970149253731345	0.0018656716417910447	1072
0045JarwalIbnAwsHutaya.Diwan.JK007531-ara1	539	8	0.05799440499246826	0.0008607703894986013	9294
0045JarwalIbnAwsHutaya.Diwan.ShamAY0037850-ara1	543	10	0.05998674326115776	0.001104728236853734	9052
0050KhirniqBintBadr.Diwan.JK007506-ara1	31	0	0.05486725663716814	0.0	565
0050KhirniqBintBadr.Diwan.ShamAY0037827-ara1	31	0	0.056261343012704176	0.0	551
0054HassanIbnThabit.Diwan.JK007534-ara1	831	6	0.04341919640524583	0.0003134960029259627	19139
0054HassanIbnThabit.Diwan.ShamAY0037912-ara1	880	7	0.04351696172485412	0.00034615765008406686	20222
0060MucawiyaIbnAbiSufyan.Diwan.JK007541-ara1	77	1	0.03276595744680851	0.000425531914893617	2350
0060MucawiyaIbnAbiSufyan.Diwan.Sham19Y0149482-ara1	82	1	0.030191458026509573	0.0003681885125184094	2716
0060SuwaydIbnAbiKahil.Diwan.Sham19Y0149485-ara1	103	3	0.04777365491651206	0.0013914656771799629	2156
0063AbuDihbilJumahi.Diwan.Sham19Y0149016-ara1	323	6	0.05904936014625228	0.0010968921389396709	5470
0068AbdAllahIbnCabbas.GharibQuran.Shamela0023622-ara1	250	5	0.016307893020221786	0.00032615786040443573	15330
0068CabdAllahIbnCabbas.GharibQuran.Zaydiyya0000300-ara1	460	15	0.01703451340542142	0.0005554732632202636	27004
0068QaysIbnDharihLubna.Diwan.JK007557-ara1	123	1	0.030665669409124907	0.0002493143854400399	4011
0068QaysIbnDharihLubna.Diwan.ShamAY0037908-ara1	123	1	0.0306809678223996	0.0002494387627837366	4009
0068QaysMajnunLayla.Diwan.JK007560-ara1	270	8	0.033966536671279406	0.0010064159013712416	7949
0068QaysMajnunLayla.Diwan.ShamAY0037853-ara1	273	8	0.034474049753756786	0.0010102285642126531	7919
0080LaylaAkhyaliyya.Diwan.JK007559-ara1	218	12	0.07774607703281027	0.0042796005706134095	2804
0080LaylaAkhyaliyya.Diwan.Sham19Y0149874-ara1	154	5	0.047109207708779445	0.0015295197308045274	3269
0080LaylaAkhyaliyya.Diwan.ShamAY0037836-ara1	219	12	0.07813057438458794	0.004281127363539065	2803
0080UqayshirAsadi.Diwan.JK007539-ara1	85	2	0.04379185986604843	0.0010303967027305513	1941
0080UqayshirAsadi.Diwan.ShamAY0037940-ara1	85	2	0.04388229220443986	0.0010325245224574084	1937
